,Mx,My,Mz,Pot1,Pot2
0,-317.33965941278154,-494.2455503723992,-151.4731592287569,477,948
1,-326.3695909255,-496.2455503723992,-146.40593883531938,480,947
2,-324.3695909255,-494.2455503723992,-153.53738285439795,478,947
3,-317.396305353671,-492.85328286922686,-136.53738285439795,478,947
4,-327.33965941278154,-492.638450111083,-142.53738285439795,477,946
5,-311.396305353671,-485.638450111083,-156.53738285439795,477,946
6,-309.3695909255,-459.85328286922686,-168.53738285439795,479,939
7,-294.396305353671,-429.638450111083,-169.53738285439795,472,920
8,-277.396305353671,-400.0319825512696,-181.59861453017993,465,897
9,-268.383348815829,-379.07064270545067,-194.4731592287569,460,878
10,-253.41982604649343,-356.85328286922686,-202.3357168561488,453,856
11,-225.49678773822075,-315.2163807407609,-205.2624884733077,446,821
12,-231.33901999686395,-162.40649001946952,-209.02471672339425,451,755
13,-228.32368785977337,-173.40649001946952,-226.7597138947192,446,744
14,-223.32368785977337,-176.2163807407609,-217.7597138947192,447,742
15,-247.35366169016356,-154.40649001946952,-223.6653057839526,458,745
16,-266.33901999686395,-128.40649001946952,-209.02471672339425,473,760
17,-273.30766819754183,-242.40649001946952,-183.93941454650303,473,816
18,-281.2909639288192,-312.60232296916416,-179.851081876257,474,859
19,-279.30766819754183,-352.40273096606086,-173.6653057839526,474,881
20,-284.30766819754183,-451.2056921365578,-149.93941454650303,462,909
21,-292.30766819754183,-501.80389217161354,-147.2624884733077,476,933
22,-294.3236878597734,-491.8192889100783,-146.1862488688596,475,944
23,-288.35366169016356,-449.60232296916416,-165.10699322486744,473,920
24,-266.33901999686395,-336.40273096606086,-163.851081876257,470,848
25,-261.35366169016356,-163.61244864687328,-189.6653057839526,475,775
26,-253.33901999686395,-129.61244864687328,-215.6653057839526,471,750
27,-250.3676100210223,-134.8044644179363,-214.93941454650303,467,745
28,-241.29096392881922,-140.2163807407609,-215.02471672339425,465,746
29,-255.3676100210223,-132.40649001946952,-214.851081876257,469,746
30,-262.3236878597734,-126.21638074076091,-198.851081876257,473,756
31,-271.3676100210223,-205.20307524583734,-190.851081876257,474,798
32,-279.35366169016356,-294.2056921365578,-181.851081876257,474,840
33,-288.3676100210223,-384.80389217161354,-156.10699322486744,485,878
34,-284.35366169016356,-470.41492924765373,-147.851081876257,473,909
35,-300.3676100210223,-499.01121020858636,-147.02471672339425,475,933
36,-291.35366169016356,-492.80389217161354,-144.93941454650303,474,943
37,-286.3808620707905,-455.80389217161354,-163.10699322486744,474,930
38,-276.3676100210223,-403.40273096606086,-163.10699322486744,472,896
39,-264.3676100210223,-345.0022080539082,-181.93941454650303,468,859
40,-259.33901999686395,-261.60232296916416,-189.93941454650303,468,821
41,-264.3676100210223,-183.8044644179363,-206.7597138947192,471,783
42,-254.3808620707905,-133.61244864687328,-221.7597138947192,469,750
43,-249.3808620707905,-133.40649001946952,-208.6653057839526,467,741
44,-260.3808620707905,-129.00915158444568,-217.851081876257,472,743
45,-258.3676100210223,-120.80446441793629,-217.6653057839526,474,750
46,-270.33901999686395,-177.8044644179363,-200.851081876257,475,783
47,-276.3676100210223,-266.40273096606086,-188.7597138947192,486,821
48,-284.33901999686395,-348.80389217161354,-176.851081876257,486,864
49,-290.39341492081803,-436.01121020858636,-161.02471672339425,474,896
50,-295.3236878597734,-491.0022080539082,-151.851081876257,476,923
51,-312.3236878597734,-507.6081313268849,-139.10699322486744,474,938
52,-313.33901999686395,-505.01121020858636,-146.851081876257,475,950
53,-286.33901999686395,-466.6081313268849,-149.02471672339425,476,948
54,-277.35366169016356,-426.40273096606086,-165.02471672339425,471,911
55,-259.3236878597734,-389.2056921365578,-173.93941454650303,467,886
56,-251.32368785977337,-347.60232296916416,-185.10699322486744,464,861
57,-248.35366169016356,-294.40273096606086,-185.7597138947192,463,829
58,-253.3676100210223,-245.20307524583734,-205.93941454650303,464,805
59,-248.30766819754183,-163.20307524583734,-209.7597138947192,466,763
60,-249.3676100210223,-152.61244864687328,-219.851081876257,461,747
61,-240.3808620707905,-155.61244864687328,-226.851081876257,460,746
62,-248.30766819754183,-146.40649001946952,-215.7597138947192,463,746
63,-249.33901999686395,-142.61244864687328,-221.7597138947192,465,747
64,-269.35366169016356,-120.80446441793629,-222.7597138947192,473,748
65,-274.35366169016356,-159.40649001946952,-196.6653057839526,475,765
66,-277.35366169016356,-200.20307524583734,-197.93941454650303,474,797
67,-284.3676100210223,-263.0022080539082,-190.02471672339425,473,836
68,-290.33901999686395,-353.0022080539082,-165.7597138947192,476,867
69,-289.30766819754183,-449.40273096606086,-145.10699322486744,474,899
70,-305.3236878597734,-502.01121020858636,-127.1862488688596,474,926
71,-315.30766819754183,-507.8192889100783,-133.93941454650303,475,939
72,-302.30766819754183,-503.01121020858636,-136.02471672339425,475,947
73,-299.2909639288192,-506.2056921365578,-138.10699322486744,475,952
74,-307.2909639288192,-495.6081313268849,-127.93941454650303,473,956
75,-306.3236878597734,-501.01121020858636,-144.02471672339425,470,954
76,-313.35366169016356,-495.8192889100783,-129.02471672339425,475,956
77,-311.3808620707905,-503.6081313268849,-139.02471672339425,474,987
78,-309.3236878597734,-503.6081313268849,-130.02471672339425,475,955
79,-310.3676100210223,-503.01121020858636,-139.93941454650303,475,956
80,-310.33901999686395,-504.2056921365578,-127.7597138947192,475,955
81,-315.3676100210223,-505.6081313268849,-137.93941454650303,478,955
82,-319.3676100210223,-503.2056921365578,-134.1862488688596,477,956
83,-316.3676100210223,-503.01121020858636,-128.2624884733077,476,956
84,-319.39341492081803,-509.6081313268849,-138.02471672339425,477,955
85,-315.405265652455,-503.2056921365578,-129.02471672339425,476,955
86,-315.405265652455,-506.6081313268849,-130.56785272602042,476,955
87,-315.405265652455,-504.01121020858636,-129.1862488688596,478,955
88,-313.3676100210223,-503.2056921365578,-137.7597138947192,478,955
89,-322.39341492081803,-502.01121020858636,-141.02471672339425,476,955
90,-317.39341492081803,-504.01121020858636,-126.02471672339425,475,955
91,-320.4455890221002,-497.8192889100783,-125.85108187625701,476,955
92,-320.4455890221002,-502.41492924765373,-126.02471672339425,475,955
93,-319.4614621116825,-498.01121020858636,-138.1862488688596,475,954
94,-315.41641134705173,-498.6081313268849,-132.1862488688596,477,955
95,-317.4365759505241,-500.6081313268849,-123.93941454650303,475,955
96,-319.4455890221002,-497.6081313268849,-132.7597138947192,476,955
97,-315.4455890221002,-508.01121020858636,-138.02471672339425,476,954
98,-315.4365759505241,-502.41492924765373,-134.851081876257,477,956
99,-338.1432738542761,-390.3713889990589,-150.68410163013755,455,932
100,-338.1432738542761,-394.82783043963684,-144.68410163013755,456,932
101,-341.1432738542761,-393.91562499516147,-145.17054171863583,455,932
102,-344.52420498279173,-391.46053796195315,-146.17054171863583,458,934
103,-338.1432738542761,-392.7427474948001,-144.42853339103704,457,933
104,-343.3343867206937,-391.3713889990589,-146.9101314308707,458,920
105,-347.3343867206937,-387.91562499516147,-148.68410163013755,458,932
106,-344.75715263388213,-387.82783043963684,-145.9101314308707,457,933
107,-350.75715263388213,-393.3713889990589,-143.68410163013755,461,932
108,-359.9508634648888,-390.28494978288677,-144.68410163013755,461,933
109,-359.1432738542761,-385.82783043963684,-146.17054171863583,461,932
110,-346.3343867206937,-358.46053796195315,-146.42853339103704,459,932
111,-328.1432738542761,-333.28494978288677,-178.6473073456782,450,933
112,-309.75715263388213,-302.7427474948001,-188.38207428099554,442,912
113,-298.9508634648888,-277.7427474948001,-207.11443705475972,433,891
114,-300.7127315592196,-256.82783043963684,-195.8444004849075,432,867
115,-302.9508634648888,-250.37138899905892,-201.8444004849075,429,857
116,-294.9508634648888,-227.46053796195318,-213.6473073456782,423,842
117,-309.9508634648888,-169.46053796195318,-209.8444004849075,425,736
118,-320.3343867206937,-96.74274749480008,-225.01994289302274,425,758
119,-317.5621384426057,-102.82783043963684,-219.8444004849075,423,748
120,-317.3343867206937,-96.74274749480008,-216.57196938937614,424,747
121,-328.52420498279173,-96.20122404136822,-202.57196938937614,436,759
122,-328.1432738542761,-168.12021550243477,-192.4583961091953,440,805
123,-311.9508634648888,-300.50380560373173,-171.74035712807472,441,860
124,-300.9508634648888,-392.966364944049,-167.17406465432077,441,893
125,-327.1432738542761,-405.4296063809612,-146.30689585309915,443,910
126,-324.7127315592196,-383.4296063809612,-144.74035712807472,445,912
127,-323.1432738542761,-380.50380560373173,-158.59830970833582,438,912
128,-307.3343867206937,-339.966364944049,-172.88736758138884,438,914
129,-293.1432738542761,-293.4296063809612,-171.59830970833582,434,852
130,-293.1432738542761,-225.82342793118127,-188.59830970833582,427,804
131,-304.1432738542761,-148.04192789401787,-206.30689585309915,428,760
132,-309.9508634648888,-103.74274749480008,-221.71701946782196,428,722
133,-313.5621384426057,-101.04192789401787,-215.41856657365497,422,712
134,-304.1432738542761,-108.66037988858267,-219.41856657365497,424,714
135,-312.5621384426057,-107.50380560373173,-224.59830970833582,426,715
136,-313.9508634648888,-137.04192789401787,-215.01313083361538,429,735
137,-289.7127315592196,-203.4296063809612,-207.8146554719499,428,780
138,-282.3343867206937,-298.89353038045965,-185.41856657365497,427,817
139,-280.1432738542761,-382.28940241438727,-161.50920690028556,428,859
140,-286.1432738542761,-402.6914342872833,-157.50920690028556,436,879
141,-305.1432738542761,-415.7560613241453,-161.9472265513225,441,890
142,-318.7127315592196,-411.28940241438727,-161.57894691728825,446,910
143,-310.5621384426057,-386.2234051264468,-164.89134780501786,443,912
144,-300.1432738542761,-350.2234051264468,-168.89134780501786,438,900
145,-281.75715263388213,-325.7560613241453,-178.26423822674406,429,870
146,-268.52420498279173,-288.28940241438727,-182.30631351759416,422,837
147,-283.1432738542761,-225.28940241438724,-194.62791670896013,421,795
148,-294.3343867206937,-137.82342793118127,-214.9472265513225,422,738
149,-291.5621384426057,-116.89353038045965,-220.30631351759416,415,713
150,-296.96924652066116,-118.89353038045965,-232.9472265513225,414,708
151,-294.5621384426057,-112.28940241438724,-221.62791670896013,415,709
152,-301.3658179724099,-123.28940241438724,-210.30631351759416,419,717
153,-292.9508634648888,-173.7560613241453,-202.65624635959875,422,751
154,-284.3658179724099,-258.28940241438727,-196.65624635959875,421,796
155,-273.3658179724099,-325.09963858091646,-186.32779202884308,423,831
156,-284.3658179724099,-386.57041383580685,-178.99706362083157,429,863
157,-301.5621384426057,-405.57041383580685,-153.664065953501,440,879
158,-301.75715263388213,-408.09963858091646,-152.32779202884308,440,893
159,-299.5621384426057,-385.57041383580685,-155.65624635959875,440,896
160,-290.3658179724099,-367.16014927264604,-162.99706362083157,435,900
161,-284.75715263388213,-336.6295505485266,-166.99706362083157,430,884
162,-271.5621384426057,-312.2234051264468,-182.99706362083157,421,853
163,-263.5621384426057,-269.16014927264604,-192.99128211263042,414,816
164,-276.5621384426057,-221.2234051264468,-203.32880384478813,413,786
165,-281.5621384426057,-151.2234051264468,-210.99128211263042,413,739
166,-289.3658179724099,-117.69143428728327,-213.32880384478813,413,706
167,-285.96924652066116,-123.69143428728327,-223.96520735485524,409,701
168,-286.96924652066116,-121.69143428728327,-223.30947904972686,411,701
169,-288.3658179724099,-121.2234051264468,-221.91896943180313,412,701
170,-285.3658179724099,-136.2234051264468,-205.96520735485524,414,713
171,-286.168188304645,-169.69143428728327,-200.61869530828608,414,736
172,-274.168188304645,-223.09963858091643,-194.30947904972686,413,772
173,-257.3658179724099,-290.0418767791894,-195.96520735485524,413,802
174,-248.75715263388213,-357.0418767791894,-182.26994772795638,407,835
175,-256.168188304645,-393.0418767791894,-169.91896943180313,416,855
176,-264.768989701808,-400.4603964002039,-159.21033996377378,421,868
177,-261.96924652066116,-399.4603964002039,-158.76652442705767,421,873
178,-271.3645192848952,-389.51402787705547,-158.03141544536197,421,874
179,-267.96924652066116,-387.98686759539646,-161.76652442705767,421,878
180,-267.168188304645,-377.51402787705547,-156.1307858414766,422,878
181,-269.768989701808,-389.57041383580685,-154.76652442705767,423,878
182,-272.1602998495356,-378.88512199333866,-161.1307858414766,422,877
183,-265.96924652066116,-386.4603964002039,-155.49284544769353,421,879
184,-269.768989701808,-389.51402787705547,-162.76652442705767,422,879
185,-265.168188304645,-382.4603964002039,-159.40006602237395,426,877
186,-270.56741492943604,-385.98686759539646,-160.1307858414766,422,878
187,-264.96924652066116,-389.98686759539646,-161.1307858414766,421,879
188,-267.3645192848952,-386.4603964002039,-148.66057751395897,422,879
189,-269.768989701808,-387.0418767791894,-160.03141544536197,422,878
190,-272.1602998495356,-386.98686759539646,-152.1307858414766,422,882
191,-270.56741492943604,-386.98686759539646,-159.03141544536197,420,879
192,-263.96924652066116,-389.0418767791894,-175.56576523776334,422,879
193,-266.56741492943604,-382.4603964002039,-162.76652442705767,420,880
194,-267.56741492943604,-388.4603964002039,-153.76652442705767,422,880
195,-266.168188304645,-388.98686759539646,-152.1307858414766,422,878
196,-267.768989701808,-387.4603964002039,-170.85269842777166,422,879
197,-269.768989701808,-388.51402787705547,-154.1307858414766,421,878
198,-301.2318186128965,-306.0939694319651,-92.50735064893911,401,902
199,-310.8001932198398,-304.66426198528984,-76.87183294682245,403,902
200,-311.8001932198398,-310.66426198528984,-80.23482649117,405,901
201,-310.2318186128965,-311.23521333563775,-72.50735064893911,405,901
202,-309.5148527308912,-309.3790905634373,-78.5963360999192,406,901
203,-305.6614722748574,-307.23521333563775,-77.31492278236988,407,902
204,-301.08915128707224,-312.3790905634373,-81.95636659100683,409,902
205,-296.6614722748574,-308.80682301701734,-76.67200949194512,406,902
206,-294.5148527308912,-301.66426198528984,-94.95636659100683,403,901
207,-285.5148527308912,-293.952015508906,-99.5963360999192,398,899
208,-285.5148527308912,-281.66426198528984,-101.67200949194512,397,888
209,-292.36031123874193,-262.23521333563775,-103.5963360999192,396,875
210,-290.6614722748574,-248.37909056343727,-121.95636659100683,396,854
211,-292.6614722748574,-210.52433614165503,-120.67200949194512,397,769
212,-303.08915128707224,-185.23521333563775,-126.95636659100683,396,796
213,-318.6614722748574,-124.80682301701736,-129.31492278236988,397,760
214,-329.6614722748574,-59.66426198528987,-152.95636659100683,394,702
215,-327.08915128707224,-57.952015508906044,-150.67200949194512,398,697
216,-331.8001932198398,-51.23521333563775,-149.31492278236988,399,697
217,-344.5148527308912,-42.806823017017365,-140.31492278236988,402,698
218,-346.2318186128965,-51.23521333563775,-133.95636659100683,412,708
219,-339.9385736876642,-107.09396943196512,-122.95636659100683,412,746
220,-320.5148527308912,-194.09396943196512,-118.02763153766955,412,789
221,-298.8001932198398,-292.95536258035094,-103.95636659100683,413,824
222,-311.2318186128965,-318.1204070186212,-84.67200949194512,416,849
223,-309.08915128707224,-314.38704921404434,-94.95636659100683,417,861
224,-296.2318186128965,-303.8193965087266,-98.95636659100683,413,862
225,-289.5148527308912,-293.38704921404434,-93.38179373748017,406,862
226,-276.36031123874193,-284.2524049303892,-116.31492278236988,398,860
227,-285.5148527308912,-265.8193965087266,-109.67200949194512,399,858
228,-290.2318186128965,-225.38704921404434,-115.31492278236988,399,843
229,-301.9385736876642,-170.95536258035094,-131.31492278236988,398,805
230,-311.6614722748574,-121.52433614165503,-138.31492278236988,398,761
231,-319.08915128707224,-67.66426198528987,-157.67200949194512,396,713
232,-323.6614722748574,-57.806823017017365,-150.5963360999192,397,699
233,-329.2318186128965,-52.806823017017365,-146.5963360999192,396,694
234,-330.08915128707224,-62.23521333563775,-147.23482649117,396,701
235,-320.9310389150377,-111.52433614165503,-137.5963360999192,397,732
236,-305.36659901433666,-179.09396943196512,-119.31492278236988,396,776
237,-279.36659901433666,-256.0939694319651,-126.95636659100683,396,807
238,-269.2318186128965,-301.1204070186212,-102.67200949194512,396,832
239,-274.36659901433666,-306.38704921404434,-106.02763153766955,399,844
240,-276.8001932198398,-303.8193965087266,-111.73450090931397,400,850
241,-274.2318186128965,-285.2524049303892,-113.95636659100683,399,849
242,-278.36659901433666,-271.38704921404434,-118.67200949194512,399,846
243,-277.36659901433666,-251.95536258035094,-116.5963360999192,399,843
244,-290.2318186128965,-229.52433614165503,-126.67200949194512,397,844
245,-293.2318186128965,-213.52433614165503,-123.67200949194512,397,830
246,-296.36659901433666,-202.95536258035094,-124.95636659100683,396,820
247,-298.36659901433666,-175.95536258035094,-137.95636659100683,396,801
248,-303.49351584059207,-141.66426198528987,-138.5963360999192,395,771
249,-318.9310389150377,-92.23521333563775,-146.31492278236988,395,731
250,-316.9310389150377,-59.806823017017365,-163.31492278236988,394,697
251,-319.9385736876642,-65.80682301701736,-153.31492278236988,391,687
252,-322.08915128707224,-66.37909056343727,-148.02763153766955,391,684
253,-323.6614722748574,-62.09983573302446,-160.02763153766955,391,688
254,-328.08915128707224,-58.09983573302446,-147.67200949194512,392,683
255,-339.36031123874193,-58.09983573302446,-149.02763153766955,395,683
256,-334.5148527308912,-62.37909056343727,-142.95636659100683,395,691
257,-331.08915128707224,-75.66426198528987,-137.73450090931397,396,704
258,-325.08915128707224,-98.23521333563775,-136.31492278236988,396,714
259,-314.08915128707224,-134.95201550890604,-136.67200949194512,395,746
260,-304.5148527308912,-180.23521333563775,-130.02763153766955,394,776
261,-288.5148527308912,-224.23521333563775,-127.02763153766955,393,799
262,-281.08915128707224,-260.23521333563775,-128.02763153766955,394,813
263,-271.08915128707224,-302.0939694319651,-104.31492278236988,393,836
264,-270.08915128707224,-317.0939694319651,-108.31492278236988,395,844
265,-265.5148527308912,-321.524336141655,-106.38179373748017,398,854
266,-271.5148527308912,-315.524336141655,-102.73450090931397,398,857
267,-270.08915128707224,-315.524336141655,-103.02763153766955,396,857
268,-274.6614722748574,-308.66426198528984,-100.38179373748017,397,857
269,-275.9385736876642,-307.95536258035094,-108.38179373748017,396,846
270,-275.6614722748574,-311.95536258035094,-103.73450090931397,395,860
271,-267.08915128707224,-308.95536258035094,-92.08575787110794,396,858
272,-268.19782444921054,-302.524336141655,-99.67200949194512,394,1023
273,-270.5148527308912,-297.66426198528984,-112.73450090931397,394,859
274,-269.9385736876642,-287.66426198528984,-107.73450090931397,393,853
275,-279.9385736876642,-261.66426198528984,-112.73450090931397,395,1023
276,-282.9385736876642,-242.37909056343727,-123.38179373748017,391,1023
277,-282.9385736876642,-220.37909056343727,-127.73450090931397,379,1023
278,-288.9385736876642,-192.80682301701736,-128.02763153766955,387,891
279,-288.5148527308912,-150.37909056343727,-132.38179373748017,383,772
280,-305.19782444921054,-121.67473007969122,-131.38179373748017,385,738
281,-317.19782444921054,-81.37909056343727,-139.95636659100683,385,722
282,-322.36031123874193,-69.52559738743227,-141.73450090931397,383,682
283,-317.19782444921054,-70.95201550890604,-155.67200949194512,382,682
284,-323.19782444921054,-70.37909056343727,-140.02763153766955,382,682
285,-320.9385736876642,-70.25027996144112,-143.31492278236988,381,681
286,-320.19782444921054,-68.52559738743227,-140.38179373748017,383,682
287,-324.78006246547386,-68.67473007969122,-138.02763153766955,384,683
288,-328.78006246547386,-68.09983573302446,-147.67200949194512,387,682
289,-318.19782444921054,-75.52559738743227,-144.31492278236988,386,692
290,-318.19782444921054,-105.37909056343727,-131.38179373748017,386,714
291,-302.36031123874193,-144.23521333563775,-129.67200949194512,386,746
292,-287.19782444921054,-209.23521333563775,-123.67200949194512,385,780
293,-263.78006246547386,-274.66426198528984,-113.38179373748017,384,807
294,-258.0273690130979,-299.524336141655,-106.08575787110794,386,833
295,-260.78006246547386,-297.66426198528984,-102.73450090931397,387,839
296,-254.61359427130185,-304.0939694319651,-109.73450090931397,387,841
297,-219.8644647930272,-297.35813740853587,-154.08575787110794,387,843
298,-219.34346027554068,-293.89353038045965,-160.08575787110794,387,843
299,-216.34346027554068,-292.35813740853587,-145.43556944079864,387,843
300,-224.90096724569787,-290.89353038045965,-160.7839404363233,387,841
301,-221.34346027554068,-291.966364944049,-160.13087567561888,387,843
302,-223.34346027554068,-291.89353038045965,-160.43556944079864,386,843
303,-223.38363475596282,-294.89353038045965,-140.43556944079864,386,843
304,-230.38363475596282,-287.35813740853587,-156.73450090931397,386,844
305,-223.8644647930272,-287.35813740853587,-158.13087567561888,389,843
306,-225.38363475596282,-286.35813740853587,-151.7839404363233,386,842
307,-227.34346027554068,-283.8234279311813,-148.43556944079864,386,843
308,-225.90096724569787,-284.89353038045965,-142.7839404363233,387,846
309,-229.8644647930272,-281.8234279311813,-148.43556944079864,386,840
310,-228.8644647930272,-258.4296063809612,-150.73450090931397,386,1023
311,-232.90096724569787,-238.89353038045965,-149.43556944079864,385,1023
312,-245.82062412215316,-196.4296063809612,-152.08575787110794,385,828
313,-247.82062412215316,-167.58073134891606,-158.73450090931397,380,795
314,-262.3434602755407,-112.35813740853587,-171.38179373748017,381,679
315,-282.8644647930272,-55.66037988858267,-174.73450090931397,381,656
316,-276.90096724569787,-61.58073134891606,-179.73450090931397,372,683
317,-275.8644647930272,-57.66037988858267,-177.08575787110794,372,679
318,-285.3836347559628,-57.041927894017874,-184.38179373748017,370,678
319,-274.3434602755407,-65.66037988858267,-170.7839404363233,369,679
320,-273.3836347559628,-92.50380560373173,-168.08575787110794,378,705
321,-261.3836347559628,-162.4296063809612,-163.43556944079864,376,705
322,-242.8644647930272,-229.50380560373173,-153.73450090931397,377,790
323,-229.38363475596282,-272.4296063809612,-146.7839404363233,382,807
324,-233.38363475596282,-282.966364944049,-145.13087567561888,387,824
325,-232.38363475596282,-284.35813740853587,-142.43556944079864,387,833
326,-229.38363475596282,-276.8234279311813,-143.13087567561888,386,835
327,-231.38363475596282,-278.8234279311813,-135.13087567561888,386,837
328,-230.90096724569787,-267.35813740853587,-159.13087567561888,386,835
329,-239.82062412215316,-255.35813740853587,-142.43556944079864,386,1023
330,-245.8644647930272,-217.4296063809612,-157.7839404363233,385,827
331,-258.8644647930272,-189.89353038045965,-164.08575787110794,385,807
332,-255.29595925151455,-165.04192789401787,-168.73450090931397,383,791
333,-267.3434602755407,-137.50380560373173,-163.13087567561888,383,765
334,-275.2411550330843,-85.58073134891606,-176.73450090931397,383,725
335,-282.29595925151455,-54.120215502434775,-173.73450090931397,380,688
336,-279.17907096944793,-52.58073134891606,-172.08575787110794,379,701
337,-288.7694685822752,-57.58073134891606,-169.08575787110794,380,681
338,-279.7694685822752,-60.58073134891606,-170.08575787110794,382,683
339,-275.29595925151455,-98.74274749480008,-171.73450090931397,382,713
340,-259.3434602755407,-183.04192789401787,-158.43556944079864,382,765
341,-243.24115503308428,-235.4296063809612,-146.73450090931397,379,793
342,-237.82062412215316,-274.89353038045965,-146.7839404363233,384,813
343,-239.34346027554068,-294.35813740853587,-140.13087567561888,388,828
344,-237.29595925151455,-294.89353038045965,-138.7839404363233,388,838
345,-238.34346027554068,-288.4296063809612,-153.13087567561888,387,839
346,-235.24115503308428,-267.4296063809612,-149.43556944079864,386,1023
347,-247.34346027554068,-243.4296063809612,-152.43556944079864,386,1023
